Name of Student,Graduation Year,Location,University,Department,Degree,Major,Minors,Job Title,Company,Industry,Years of Experience,Technical and Non-technical Skills,Areas of Interest
Alice Scott,2009,Houston,"University of California, Berkeley",Computer Science,B.Tech,Renewable Energy,Art History,Consultant,Facebook,Finance,11,"Docker, Java, TensorFlow","Data Science, IoT"
Robert Lewis,2021,Los Angeles,Stanford University,Mathematics,M.Sc,Business Analytics,Law,Consultant,Intel,Education,15,"SQL, CSS, Java","IoT, Data Science"
Jessica Lee,2010,San Jose,MIT,Biology,M.Sc,Business Analytics,Psychology,Full Stack Developer,Amazon,Automotive,1,"C++, Docker, TensorFlow","Robotics, Renewable Energy"
Emily Lee,2019,Philadelphia,"University of California, Berkeley",Civil Engineering,B.Sc,Machine Learning,Philosophy,Full Stack Developer,Facebook,Automotive,18,"Java, Git, CSS","Cybersecurity, Business Strategy"
David Anderson,2024,New York,Columbia University,Mathematics,MBA,Renewable Energy,Art History,DevOps Engineer,Tesla,Government,30,"Git, CSS, Django","Blockchain, Quantum Computing"
John Lewis,2020,Los Angeles,Columbia University,Economics,PhD,Financial Engineering,Art History,Research Scientist,Facebook,Telecommunications,14,"Python, HTML, TensorFlow","Renewable Energy, Robotics"
Sarah Anderson,2002,San Diego,University of Chicago,Electrical Engineering,B.Tech,Data Science,Linguistics,Software Engineer,Google,Government,9,"TensorFlow, Django, React","Quantum Computing, AI"
Robert Lee,2012,San Jose,Stanford University,Mathematics,M.Sc,Data Science,Sociology,DevOps Engineer,Tesla,Finance,1,"Java, Docker, Kubernetes","Renewable Energy, Robotics"
John Walker,2017,Phoenix,California Institute of Technology,Civil Engineering,PhD,Financial Engineering,Art History,Operations Manager,Apple,Energy,24,"AWS, Python, Keras","Quantum Computing, Blockchain"
Jessica Walker,2023,San Diego,University of Pennsylvania,Biology,PhD,Renewable Energy,Political Science,Research Scientist,Amazon,Healthcare,13,"CSS, Django, Git","Cybersecurity, Data Science"
John Scott,2002,Phoenix,"University of California, Berkeley",Computer Science,PhD,Quantum Computing,Philosophy,DevOps Engineer,Intel,Energy,2,"Git, CSS, Keras","IoT, Business Strategy"
Robert Smith,2018,San Antonio,MIT,Electrical Engineering,M.Sc,Robotics,Statistics,Research Scientist,Microsoft,Consulting,21,"Docker, React, JavaScript","IoT, Data Science"
Linda Taylor,2004,New York,University of Pennsylvania,Chemistry,B.Sc,Financial Engineering,Law,DevOps Engineer,IBM,Healthcare,6,"SQL, Keras, React","ML, IoT"
Bob Scott,2006,Houston,Stanford University,Economics,PhD,Software Engineering,Philosophy,Full Stack Developer,Tesla,Telecommunications,14,"CSS, Python, C++","Data Science, Business Strategy"
Robert Clark,2014,Los Angeles,Yale University,Biology,B.Sc,Artificial Intelligence,Statistics,Operations Manager,IBM,Government,26,"JavaScript, HTML, CSS","IoT, ML"
Robert Brown,2011,Houston,California Institute of Technology,Mathematics,MBA,Business Analytics,Philosophy,Business Analyst,Tesla,Automotive,27,"Git, SQL, HTML","Renewable Energy, Business Strategy"
Michael Walker,2005,Chicago,Harvard University,Computer Science,BBA,Business Analytics,Psychology,Software Engineer,Tesla,Healthcare,26,"CSS, Git, Django","Renewable Energy, Data Science"
Jessica Scott,2008,Chicago,California Institute of Technology,Business Administration,MBA,Robotics,Environmental Science,DevOps Engineer,Adobe,Education,24,"Java, Django, AWS","Data Science, Quantum Computing"
Michael Smith,2019,New York,Yale University,Computer Science,M.Tech,Artificial Intelligence,Psychology,Product Manager,Google,Retail,29,"JavaScript, Keras, HTML","Renewable Energy, Cybersecurity"
Jessica Taylor,2004,Philadelphia,Yale University,Civil Engineering,BBA,Renewable Energy,Linguistics,DevOps Engineer,Tesla,Education,26,"C++, TensorFlow, Django","Renewable Energy, IoT"
Jessica Scott,2003,San Diego,Princeton University,Mathematics,B.Tech,Software Engineering,History,Marketing Manager,Facebook,Consulting,23,"HTML, Git, Docker","Cybersecurity, ML"
Jessica Lee,2023,Philadelphia,University of Chicago,Computer Science,B.Sc,Data Science,Environmental Science,Marketing Manager,Apple,Finance,19,"Git, Keras, Docker","IoT, Robotics"
Bob Taylor,2022,Los Angeles,Harvard University,Chemistry,BBA,Business Analytics,Art History,Marketing Manager,Tesla,Retail,16,"Git, TensorFlow, AWS","IoT, Blockchain"
John Clark,2014,San Antonio,University of Pennsylvania,Civil Engineering,BBA,Software Engineering,Art History,Full Stack Developer,Adobe,Finance,6,"C++, TensorFlow, CSS","IoT, AI"
Michael Brown,2023,New York,University of Pennsylvania,Physics,B.Sc,Business Analytics,Philosophy,Business Analyst,Facebook,Automotive,28,"C++, CSS, Django","ML, Quantum Computing"
Emily Clark,2011,San Diego,University of Chicago,Electrical Engineering,PhD,Data Science,Statistics,Product Manager,Netflix,Technology,13,"TensorFlow, C++, Django","Cybersecurity, AI"
Jessica Scott,2011,New York,"University of California, Berkeley",Mechanical Engineering,BBA,Financial Engineering,Psychology,Operations Manager,Facebook,Government,17,"HTML, Git, Django","Robotics, ML"
David Taylor,2004,Philadelphia,Stanford University,Computer Science,B.Tech,Artificial Intelligence,Linguistics,Full Stack Developer,IBM,Telecommunications,12,"Docker, React, Git","Cybersecurity, AI"
Bob Clark,2011,Phoenix,Yale University,Physics,MBA,Robotics,Philosophy,Research Scientist,Adobe,Retail,17,"AWS, C++, TensorFlow","Data Science, Quantum Computing"
Jessica Taylor,2007,Dallas,MIT,Computer Science,M.Tech,Financial Engineering,Statistics,Research Scientist,Google,Telecommunications,23,"TensorFlow, Python, CSS","Quantum Computing, IoT"
Alice Walker,2013,Chicago,Columbia University,Electrical Engineering,B.Tech,Data Science,Psychology,Business Analyst,Facebook,Education,21,"SQL, C++, AWS","ML, IoT"
David Anderson,2007,Phoenix,MIT,Physics,M.Sc,Data Science,Sociology,Data Scientist,IBM,Government,21,"Python, Docker, SQL","IoT, AI"
Emily Brown,2024,Houston,Harvard University,Business Administration,B.Tech,Software Engineering,Linguistics,Operations Manager,Facebook,Retail,1,"SQL, Git, Docker","Cybersecurity, Business Strategy"
John Taylor,2014,Los Angeles,University of Pennsylvania,Physics,B.Tech,Artificial Intelligence,Psychology,Full Stack Developer,Google,Government,25,"TensorFlow, CSS, Django","Cybersecurity, Blockchain"
Michael Walker,2000,Phoenix,California Institute of Technology,Physics,B.Sc,Software Engineering,Linguistics,Operations Manager,Tesla,Government,11,"C++, HTML, Kubernetes","Cybersecurity, IoT"
Alice Johnson,2005,Philadelphia,Harvard University,Biology,PhD,Artificial Intelligence,Linguistics,Business Analyst,Intel,Automotive,4,"Java, Kubernetes, TensorFlow","Renewable Energy, IoT"
John Lee,2021,San Diego,MIT,Mathematics,M.Tech,Business Analytics,Political Science,Product Manager,IBM,Government,19,"AWS, Git, Django","Data Science, Renewable Energy"
Robert Brown,2023,Houston,University of Pennsylvania,Mechanical Engineering,B.Tech,Data Science,Art History,Marketing Manager,Tesla,Government,10,"JavaScript, React, TensorFlow","Robotics, Cybersecurity"
Bob Lee,2000,Chicago,California Institute of Technology,Civil Engineering,M.Sc,Machine Learning,Psychology,Marketing Manager,Apple,Government,25,"Django, JavaScript, C++","ML, Robotics"
Bob Johnson,2004,Phoenix,Harvard University,Economics,M.Tech,Artificial Intelligence,Environmental Science,Business Analyst,Amazon,Finance,30,"React, Kubernetes, Docker","Data Science, Blockchain"
Jessica Lee,2009,Philadelphia,MIT,Civil Engineering,M.Tech,Artificial Intelligence,Philosophy,Consultant,Microsoft,Telecommunications,16,"React, Docker, AWS","Renewable Energy, AI"
Robert Lewis,2021,Phoenix,Princeton University,Biology,M.Sc,Robotics,Sociology,Operations Manager,Amazon,Automotive,16,"Docker, JavaScript, CSS","Quantum Computing, Business Strategy"
Bob Clark,2005,New York,University of Pennsylvania,Civil Engineering,M.Sc,Robotics,Environmental Science,Consultant,Apple,Government,2,"AWS, Git, TensorFlow","Robotics, Business Strategy"
David Johnson,2020,San Antonio,University of Pennsylvania,Biology,PhD,Robotics,Philosophy,Consultant,Google,Energy,19,"Keras, Kubernetes, SQL","Cybersecurity, Blockchain"
Linda Walker,2010,Philadelphia,University of Pennsylvania,Civil Engineering,M.Tech,Quantum Computing,Law,Consultant,Intel,Technology,30,"JavaScript, AWS, Kubernetes","AI, IoT"
Sarah Scott,2024,San Antonio,Stanford University,Electrical Engineering,BBA,Data Science,Political Science,Data Scientist,Amazon,Retail,16,"React, Git, Java","Cybersecurity, Blockchain"
Emily Lee,2020,Houston,California Institute of Technology,Chemistry,B.Tech,Software Engineering,Political Science,Full Stack Developer,Apple,Technology,9,"Kubernetes, AWS, JavaScript","AI, Data Science"
Bob Smith,2003,Dallas,MIT,Biology,B.Tech,Renewable Energy,Environmental Science,Research Scientist,Amazon,Energy,21,"JavaScript, Docker, C++","Cybersecurity, Business Strategy"
Sarah Smith,2009,Houston,"University of California, Berkeley",Mechanical Engineering,MBA,Software Engineering,History,Operations Manager,IBM,Energy,17,"Docker, C++, React","ML, IoT"
John Brown,2016,Los Angeles,Harvard University,Chemistry,M.Tech,Business Analytics,Sociology,Software Engineer,Tesla,Finance,30,"CSS, SQL, HTML","Blockchain, ML"
John Lewis,2004,Houston,Harvard University,Economics,B.Tech,Robotics,History,Consultant,Facebook,Technology,17,"TensorFlow, CSS, SQL","Robotics, ML"
Linda Smith,2017,San Diego,California Institute of Technology,Chemistry,MBA,Quantum Computing,Statistics,Marketing Manager,IBM,Finance,24,"AWS, Java, Python","AI, Data Science"
Bob Johnson,2005,Philadelphia,Stanford University,Civil Engineering,M.Sc,Financial Engineering,Linguistics,Data Scientist,Apple,Consulting,24,"C++, React, CSS","Blockchain, AI"
Michael Smith,2012,San Antonio,Columbia University,Biology,BBA,Quantum Computing,Linguistics,DevOps Engineer,Adobe,Consulting,11,"SQL, AWS, Keras","IoT, Robotics"
Alice Anderson,2016,Houston,"University of California, Berkeley",Computer Science,MBA,Software Engineering,Statistics,Consultant,Netflix,Telecommunications,15,"Keras, C++, Django","Blockchain, Quantum Computing"
Linda Anderson,2021,San Jose,Columbia University,Biology,B.Sc,Software Engineering,Political Science,Consultant,Microsoft,Automotive,3,"AWS, CSS, Kubernetes","IoT, Blockchain"
Emily Clark,2008,Houston,Harvard University,Economics,M.Sc,Cybersecurity,Art History,Full Stack Developer,IBM,Healthcare,23,"Keras, C++, AWS","Quantum Computing, Robotics"
Linda Taylor,2022,San Diego,Stanford University,Business Administration,B.Sc,Software Engineering,Art History,Full Stack Developer,Intel,Retail,26,"Kubernetes, HTML, Java","IoT, Renewable Energy"
Bob Walker,2023,San Jose,"University of California, Berkeley",Chemistry,B.Sc,Software Engineering,Sociology,Product Manager,IBM,Automotive,18,"CSS, Keras, JavaScript","ML, Robotics"
Robert Brown,2023,Dallas,MIT,Chemistry,M.Tech,Financial Engineering,Linguistics,Operations Manager,Amazon,Energy,14,"CSS, Kubernetes, C++","IoT, ML"
Jessica Smith,2010,Chicago,University of Pennsylvania,Chemistry,PhD,Robotics,Art History,DevOps Engineer,Netflix,Consulting,17,"Java, Git, SQL","Quantum Computing, Data Science"
Jessica Brown,2022,Houston,Columbia University,Biology,B.Sc,Artificial Intelligence,History,Consultant,Apple,Energy,25,"C++, HTML, Git","Blockchain, IoT"
Jessica Scott,2009,Los Angeles,California Institute of Technology,Economics,MBA,Quantum Computing,History,Product Manager,IBM,Healthcare,19,"Django, AWS, TensorFlow","ML, Quantum Computing"
Sarah Brown,2003,Dallas,MIT,Mechanical Engineering,M.Tech,Financial Engineering,Linguistics,Data Scientist,Adobe,Automotive,21,"AWS, CSS, Docker","Robotics, Renewable Energy"
Sarah Anderson,2004,Phoenix,Yale University,Electrical Engineering,M.Tech,Machine Learning,Statistics,Consultant,Amazon,Healthcare,3,"Keras, Kubernetes, JavaScript","Business Strategy, Renewable Energy"
David Smith,2024,San Antonio,MIT,Computer Science,B.Sc,Software Engineering,Sociology,Software Engineer,Netflix,Technology,19,"Kubernetes, Keras, HTML","Data Science, AI"
Robert Anderson,2020,San Diego,California Institute of Technology,Computer Science,BBA,Renewable Energy,Environmental Science,Operations Manager,Amazon,Healthcare,29,"HTML, Keras, Java","Data Science, Robotics"
Bob Taylor,2006,Houston,Columbia University,Business Administration,M.Sc,Robotics,Linguistics,Full Stack Developer,Facebook,Telecommunications,8,"AWS, TensorFlow, SQL","ML, IoT"
Sarah Lewis,2000,San Jose,MIT,Computer Science,BBA,Software Engineering,Environmental Science,Product Manager,Tesla,Finance,24,"Docker, Django, Keras","AI, Cybersecurity"
Alice Walker,2016,Philadelphia,Harvard University,Economics,BBA,Business Analytics,Political Science,Operations Manager,Tesla,Automotive,25,"Keras, Kubernetes, Django","Cybersecurity, Blockchain"
Michael Smith,2022,Philadelphia,Yale University,Civil Engineering,B.Sc,Data Science,Law,Product Manager,Apple,Consulting,12,"AWS, React, C++","Renewable Energy, Cybersecurity"
David Smith,2002,Philadelphia,University of Chicago,Mathematics,B.Sc,Software Engineering,Philosophy,Business Analyst,Intel,Finance,5,"HTML, C++, Python","Robotics, Data Science"
Linda Lewis,2006,San Jose,California Institute of Technology,Business Administration,MBA,Robotics,History,Research Scientist,Intel,Finance,18,"TensorFlow, HTML, AWS","Quantum Computing, Renewable Energy"
Jessica Lewis,2002,Phoenix,University of Pennsylvania,Biology,BBA,Robotics,Philosophy,Full Stack Developer,Adobe,Healthcare,5,"Java, C++, React","Business Strategy, Quantum Computing"
Michael Anderson,2014,Houston,Stanford University,Chemistry,M.Sc,Business Analytics,Philosophy,Research Scientist,Microsoft,Technology,3,"Python, Django, Docker","Quantum Computing, AI"
Robert Walker,2024,New York,"University of California, Berkeley",Computer Science,M.Tech,Quantum Computing,Art History,Product Manager,Adobe,Energy,13,"JavaScript, React, Git","IoT, Data Science"
Bob Taylor,2007,Houston,Yale University,Electrical Engineering,BBA,Renewable Energy,Political Science,Operations Manager,Google,Government,17,"SQL, JavaScript, AWS","Robotics, Cybersecurity"
John Smith,2024,San Diego,University of Chicago,Economics,BBA,Robotics,Law,Consultant,Google,Consulting,28,"Kubernetes, CSS, Java","AI, Renewable Energy"
Alice Brown,2010,Phoenix,University of Pennsylvania,Chemistry,PhD,Quantum Computing,Statistics,Product Manager,Facebook,Education,27,"TensorFlow, CSS, Keras","Data Science, AI"
Michael Scott,2013,Philadelphia,Yale University,Business Administration,M.Sc,Machine Learning,Linguistics,Business Analyst,Tesla,Government,25,"Python, AWS, React","Blockchain, Data Science"
David Taylor,2020,San Jose,Harvard University,Mathematics,M.Tech,Financial Engineering,Linguistics,Full Stack Developer,Apple,Automotive,3,"React, Docker, C++","Cybersecurity, Blockchain"
Sarah Scott,2019,Chicago,Yale University,Computer Science,B.Sc,Robotics,Political Science,Business Analyst,Apple,Healthcare,27,"Keras, C++, HTML","IoT, AI"
Linda Lewis,2008,Chicago,University of Chicago,Mechanical Engineering,B.Tech,Business Analytics,Philosophy,Marketing Manager,Facebook,Technology,17,"Keras, SQL, TensorFlow","Cybersecurity, Robotics"
Jessica Anderson,2008,San Jose,Columbia University,Civil Engineering,B.Tech,Quantum Computing,Law,Research Scientist,Intel,Consulting,5,"JavaScript, Git, Keras","ML, Cybersecurity"
Jessica Smith,2022,San Diego,Yale University,Mathematics,MBA,Machine Learning,Sociology,Full Stack Developer,Google,Energy,19,"Django, Keras, HTML","Blockchain, Quantum Computing"
Sarah Scott,2017,Houston,Columbia University,Civil Engineering,B.Tech,Business Analytics,Art History,Data Scientist,Amazon,Telecommunications,11,"SQL, C++, TensorFlow","Business Strategy, Renewable Energy"
Bob Anderson,2020,Philadelphia,"University of California, Berkeley",Computer Science,MBA,Quantum Computing,Law,Data Scientist,IBM,Retail,21,"SQL, JavaScript, Kubernetes","Renewable Energy, Data Science"
Michael Walker,2012,San Antonio,Stanford University,Computer Science,BBA,Business Analytics,Law,Product Manager,Microsoft,Healthcare,6,"CSS, SQL, TensorFlow","Robotics, Business Strategy"
Linda Smith,2022,Philadelphia,Yale University,Physics,M.Sc,Artificial Intelligence,Art History,Data Scientist,Intel,Consulting,1,"Keras, CSS, React","IoT, AI"
Bob Smith,2020,Dallas,University of Chicago,Electrical Engineering,PhD,Robotics,Environmental Science,Data Scientist,Facebook,Telecommunications,26,"SQL, React, Git","Blockchain, ML"
Jessica Anderson,2021,San Diego,Princeton University,Mechanical Engineering,M.Sc,Software Engineering,Statistics,Marketing Manager,IBM,Automotive,28,"HTML, C++, Django","Renewable Energy, Cybersecurity"
David Clark,2003,Philadelphia,"University of California, Berkeley",Electrical Engineering,B.Tech,Renewable Energy,Statistics,Product Manager,Tesla,Telecommunications,11,"Docker, Java, Python","Blockchain, Cybersecurity"
Alice Anderson,2012,Houston,Princeton University,Biology,B.Sc,Quantum Computing,Sociology,Research Scientist,Apple,Retail,28,"React, Kubernetes, JavaScript","IoT, Renewable Energy"
Robert Scott,2001,Houston,MIT,Biology,M.Tech,Cybersecurity,Environmental Science,Data Scientist,Adobe,Healthcare,23,"Git, Keras, SQL","Quantum Computing, Robotics"
Emily Scott,2008,San Jose,Stanford University,Biology,PhD,Renewable Energy,Environmental Science,DevOps Engineer,Tesla,Education,10,"Git, Django, SQL","Data Science, Renewable Energy"
Linda Johnson,2021,Chicago,Yale University,Chemistry,B.Tech,Quantum Computing,Sociology,Full Stack Developer,Intel,Consulting,29,"React, C++, CSS","Cybersecurity, Business Strategy"
Bob Brown,2009,New York,Princeton University,Chemistry,MBA,Renewable Energy,Environmental Science,Software Engineer,Amazon,Telecommunications,22,"CSS, React, Git","Data Science, Robotics"
Robert Smith,2020,Philadelphia,California Institute of Technology,Civil Engineering,PhD,Business Analytics,Psychology,Business Analyst,Amazon,Healthcare,16,"Docker, JavaScript, CSS","ML, AI"
Alice Scott,2000,Houston,Yale University,Computer Science,M.Sc,Robotics,Law,Product Manager,IBM,Healthcare,26,"CSS, Docker, Keras","Business Strategy, Cybersecurity"
Robert Anderson,2000,Los Angeles,MIT,Chemistry,PhD,Quantum Computing,Philosophy,Research Scientist,Microsoft,Finance,5,"Java, Docker, HTML","IoT, Data Science"
Emily Scott,2010,San Diego,"University of California, Berkeley",Computer Science,M.Tech,Data Science,History,Data Scientist,Amazon,Healthcare,11,"Python, Git, React","Blockchain, Business Strategy"
David Brown,2019,Philadelphia,University of Chicago,Physics,PhD,Artificial Intelligence,Sociology,Consultant,Amazon,Education,2,"Python, TensorFlow, Git","Blockchain, AI"
Alice Johnson,2010,Los Angeles,University of Chicago,Civil Engineering,M.Sc,Robotics,Political Science,Business Analyst,IBM,Energy,10,"TensorFlow, HTML, Docker","Quantum Computing, IoT"
Emily Lee,2016,Philadelphia,MIT,Civil Engineering,MBA,Cybersecurity,Linguistics,Data Scientist,Apple,Government,3,"Git, React, SQL","Quantum Computing, Robotics"
Alice Smith,2012,Los Angeles,Yale University,Biology,PhD,Artificial Intelligence,Philosophy,Data Scientist,Microsoft,Government,13,"Python, Django, Kubernetes","Business Strategy, Data Science"
Sarah Lee,2001,New York,University of Chicago,Electrical Engineering,PhD,Data Science,Psychology,DevOps Engineer,Amazon,Retail,22,"Keras, CSS, Java","ML, AI"
Bob Walker,2004,San Jose,"University of California, Berkeley",Computer Science,M.Sc,Business Analytics,Environmental Science,Software Engineer,Netflix,Automotive,22,"C++, CSS, Django","Quantum Computing, Blockchain"
David Brown,2014,Philadelphia,Harvard University,Civil Engineering,B.Sc,Artificial Intelligence,History,Product Manager,Google,Technology,12,"Python, JavaScript, React","IoT, ML"
Linda Walker,2021,Phoenix,University of Chicago,Civil Engineering,B.Tech,Artificial Intelligence,Political Science,Consultant,Tesla,Telecommunications,27,"AWS, TensorFlow, Git","Cybersecurity, Blockchain"
Sarah Brown,2013,New York,MIT,Business Administration,MBA,Renewable Energy,Linguistics,Operations Manager,Amazon,Technology,28,"Python, JavaScript, Keras","Robotics, ML"
David Johnson,2011,San Jose,Yale University,Business Administration,M.Tech,Robotics,History,Software Engineer,Adobe,Telecommunications,1,"CSS, C++, SQL","Business Strategy, Renewable Energy"
John Walker,2024,Philadelphia,Princeton University,Business Administration,MBA,Data Science,Psychology,Business Analyst,Amazon,Automotive,18,"SQL, HTML, C++","ML, Cybersecurity"
Jessica Taylor,2001,Phoenix,Princeton University,Mechanical Engineering,BBA,Business Analytics,Political Science,DevOps Engineer,Apple,Government,13,"Git, Kubernetes, Java","IoT, Quantum Computing"
David Taylor,2017,Houston,Princeton University,Physics,B.Sc,Renewable Energy,Sociology,Data Scientist,IBM,Government,19,"Keras, Django, JavaScript","Cybersecurity, Blockchain"
David Smith,2022,Chicago,Harvard University,Biology,M.Tech,Renewable Energy,Political Science,Research Scientist,Facebook,Government,2,"HTML, Java, SQL","Quantum Computing, Renewable Energy"
David Brown,2022,Phoenix,MIT,Business Administration,B.Sc,Business Analytics,Statistics,Marketing Manager,Intel,Healthcare,19,"SQL, AWS, Python","IoT, Data Science"
Sarah Clark,2021,Chicago,Yale University,Computer Science,PhD,Business Analytics,Psychology,Data Scientist,Facebook,Telecommunications,13,"Keras, SQL, Java","Business Strategy, Robotics"
John Johnson,2019,Philadelphia,Princeton University,Economics,B.Tech,Renewable Energy,Statistics,DevOps Engineer,Amazon,Education,25,"Python, Kubernetes, CSS","Quantum Computing, ML"
Robert Taylor,2018,San Jose,MIT,Mathematics,M.Sc,Data Science,Philosophy,Full Stack Developer,Adobe,Consulting,30,"TensorFlow, Python, Git","Quantum Computing, ML"
Bob Taylor,2001,Phoenix,University of Pennsylvania,Civil Engineering,MBA,Cybersecurity,Linguistics,Marketing Manager,Adobe,Education,26,"TensorFlow, JavaScript, SQL","AI, IoT"
Bob Anderson,2014,New York,Yale University,Computer Science,M.Sc,Financial Engineering,Art History,Business Analyst,Amazon,Government,3,"Kubernetes, Java, AWS","ML, Blockchain"
Robert Anderson,2002,Dallas,Stanford University,Biology,M.Tech,Artificial Intelligence,Environmental Science,Operations Manager,Netflix,Technology,1,"TensorFlow, CSS, Python","IoT, AI"
Jessica Lee,2013,Philadelphia,"University of California, Berkeley",Physics,M.Tech,Renewable Energy,History,Full Stack Developer,Intel,Healthcare,10,"React, JavaScript, TensorFlow","Data Science, Robotics"
Linda Brown,2017,New York,MIT,Electrical Engineering,B.Tech,Data Science,Statistics,Software Engineer,IBM,Healthcare,16,"HTML, CSS, Java","Quantum Computing, AI"
Emily Lewis,2019,Phoenix,Columbia University,Chemistry,PhD,Business Analytics,Sociology,Software Engineer,Google,Energy,16,"HTML, Docker, C++","Data Science, Quantum Computing"
John Lee,2013,Philadelphia,University of Chicago,Economics,M.Tech,Data Science,Environmental Science,Data Scientist,Tesla,Energy,29,"HTML, Kubernetes, Django","ML, Cybersecurity"
Alice Taylor,2010,Phoenix,California Institute of Technology,Mathematics,PhD,Machine Learning,Art History,Product Manager,Netflix,Automotive,14,"Java, Kubernetes, React","Business Strategy, AI"
Bob Anderson,2005,Phoenix,California Institute of Technology,Mathematics,B.Sc,Data Science,Art History,DevOps Engineer,Tesla,Technology,14,"C++, JavaScript, Keras","Renewable Energy, Blockchain"
Sarah Lewis,2015,Dallas,Stanford University,Business Administration,BBA,Business Analytics,Psychology,Business Analyst,Netflix,Healthcare,24,"Docker, C++, TensorFlow","Quantum Computing, AI"
Sarah Smith,2010,Phoenix,Stanford University,Computer Science,M.Tech,Software Engineering,Environmental Science,Full Stack Developer,Adobe,Consulting,9,"TensorFlow, CSS, Java","AI, Renewable Energy"
Michael Johnson,2021,Philadelphia,University of Pennsylvania,Mathematics,M.Tech,Software Engineering,Environmental Science,Consultant,Facebook,Energy,5,"JavaScript, Python, Docker","Blockchain, ML"
Alice Taylor,2004,Houston,California Institute of Technology,Electrical Engineering,M.Tech,Robotics,Political Science,Consultant,Amazon,Telecommunications,3,"React, JavaScript, Git","Cybersecurity, Renewable Energy"
Linda Clark,2021,Los Angeles,University of Pennsylvania,Mathematics,PhD,Business Analytics,Statistics,Consultant,Microsoft,Education,27,"Python, JavaScript, React","AI, Blockchain"
Sarah Johnson,2001,Chicago,University of Pennsylvania,Chemistry,PhD,Artificial Intelligence,Law,Operations Manager,IBM,Finance,18,"SQL, C++, AWS","Robotics, ML"
Sarah Lee,2012,Dallas,Yale University,Mechanical Engineering,PhD,Machine Learning,Law,Consultant,Adobe,Technology,8,"Django, React, CSS","Renewable Energy, AI"
Alice Scott,2008,San Jose,University of Pennsylvania,Business Administration,M.Tech,Cybersecurity,Art History,Full Stack Developer,Google,Consulting,24,"React, HTML, C++","IoT, Cybersecurity"
Robert Lewis,2009,New York,Stanford University,Mathematics,PhD,Cybersecurity,Linguistics,Business Analyst,Intel,Energy,9,"Kubernetes, SQL, C++","Quantum Computing, IoT"
John Lewis,2012,Dallas,Yale University,Computer Science,M.Sc,Data Science,History,Operations Manager,Adobe,Government,16,"Django, HTML, React","Data Science, AI"
Robert Clark,2009,Philadelphia,Princeton University,Electrical Engineering,BBA,Robotics,History,Marketing Manager,Intel,Healthcare,18,"Django, Keras, React","Blockchain, Cybersecurity"
Robert Brown,2006,San Antonio,University of Chicago,Mechanical Engineering,BBA,Cybersecurity,Linguistics,Business Analyst,Microsoft,Telecommunications,14,"Python, Docker, Django","Data Science, ML"
Jessica Brown,2004,Dallas,University of Chicago,Civil Engineering,B.Tech,Machine Learning,Political Science,Data Scientist,Intel,Consulting,4,"C++, Git, Kubernetes","Renewable Energy, Blockchain"
John Brown,2014,Phoenix,Stanford University,Civil Engineering,BBA,Software Engineering,History,Software Engineer,Netflix,Technology,2,"Keras, TensorFlow, JavaScript","ML, Data Science"
Sarah Johnson,2021,San Jose,Princeton University,Chemistry,PhD,Renewable Energy,Sociology,Data Scientist,Netflix,Consulting,17,"C++, Java, Docker","Renewable Energy, AI"
Robert Lewis,2022,San Diego,University of Chicago,Biology,BBA,Cybersecurity,History,Data Scientist,Microsoft,Healthcare,26,"React, AWS, Java","Data Science, ML"
Emily Lewis,2006,Chicago,"University of California, Berkeley",Mechanical Engineering,BBA,Artificial Intelligence,Political Science,Product Manager,Adobe,Energy,24,"JavaScript, Git, Docker","Robotics, ML"
Alice Scott,2003,Los Angeles,Harvard University,Mathematics,MBA,Machine Learning,Linguistics,Research Scientist,Facebook,Finance,19,"HTML, SQL, TensorFlow","Cybersecurity, IoT"
Sarah Johnson,2022,San Diego,"University of California, Berkeley",Civil Engineering,MBA,Software Engineering,Statistics,Marketing Manager,Microsoft,Technology,3,"HTML, React, Python","AI, Renewable Energy"
Michael Smith,2021,Dallas,Princeton University,Electrical Engineering,B.Tech,Financial Engineering,Law,DevOps Engineer,Microsoft,Technology,24,"Docker, Keras, JavaScript","Blockchain, Robotics"
Linda Lee,2017,Phoenix,Columbia University,Electrical Engineering,B.Sc,Machine Learning,Statistics,Operations Manager,Microsoft,Education,4,"Kubernetes, Docker, React","Business Strategy, Renewable Energy"
David Walker,2016,San Diego,Yale University,Biology,M.Tech,Cybersecurity,Philosophy,Consultant,Amazon,Automotive,24,"JavaScript, TensorFlow, Kubernetes","IoT, Renewable Energy"
Robert Lewis,2006,San Antonio,Harvard University,Mathematics,B.Tech,Data Science,Law,Business Analyst,Adobe,Education,16,"HTML, TensorFlow, Django","ML, Cybersecurity"
Sarah Walker,2019,Dallas,MIT,Chemistry,B.Sc,Artificial Intelligence,Statistics,Consultant,Adobe,Automotive,4,"Keras, React, HTML","Quantum Computing, AI"
John Brown,2022,San Antonio,Stanford University,Chemistry,B.Sc,Software Engineering,Environmental Science,Business Analyst,Facebook,Education,27,"TensorFlow, C++, Python","Cybersecurity, Robotics"
Bob Scott,2017,Dallas,California Institute of Technology,Chemistry,BBA,Machine Learning,Environmental Science,Software Engineer,Tesla,Energy,23,"Git, CSS, Python","Business Strategy, Robotics"
Sarah Walker,2003,New York,Columbia University,Computer Science,MBA,Financial Engineering,Political Science,DevOps Engineer,Google,Education,8,"HTML, React, CSS","AI, Quantum Computing"
